Testtaker ID,Country,Region,Gender,Age,Year,Highest Level of Education,School/University,First-generation university,Employment Status,Role Applied,Department / Interest,Past Test Taker,Prepared with Online Materials,Desired Office,Ecosystem %,Time Spent on Ecosystem,Redrock %,Time Spent on Redrock,Seawolf %,Time Spent on Seawolf,Total Product Score,Process Score,Resume Score,Total Assessment Score,Status
MCK0045,Spain,Europe,Male,28,2025,Medical Doctor,University of Madrid (Complutense University of Madrid)  ,Yes,Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Thailand,71,17,61,18,88,16,73.33,72,65,70.11,Fail
MCK0046,Romania,Europe,Male,18,2018,High School,University of Bucharest  ,Yes,Self Employed,Finance Analyst,Finance,Yes,Yes,Malaysia,71,16,83,18,79,19,77.67,85,65,75.89,Pass
MCK0047,United States,North America,Non-Binary,32,2022,MBA,Cornell University  ,Yes,Employed,Director of Public Affairs - US Federal,Communications,No,No,Turkey,82,34,50,34,78,31,70,62,63,65,Fail
MCK0048,Azerbaijan,Asia Pacific,Female,22,2020,Undergraduate,Baku State University  ,No,Self Employed,Director of Public Affairs - US Federal,Communications,Yes,No,Thailand,69,22,67,28,68,28,68,64,82,71.33,Fail
MCK0049,United Kingdom,Europe,Male,27,2022,Masters,University of Brighton  ,No,Employed,Consultant,Consulting,No,Yes,Kuwait,90,20,60,22,100,15,83.33,81,80,81.44,Pass
MCK0050,Pakistan,Middle East,Female,30,2021,Masters,University of the Punjab  ,No,Self Employed,Data Analyst,Analytics,No,No,Japan,71,30,52,34,75,34,66,73,98,79,Pass
MCK0051,Austria,Europe,Non-Binary,25,2023,MBA,University of Vienna  ,Yes,Employed,Accountant,Finance,Yes,No,Sweden,91,15,76,22,73,26,80,95,100,91.67,Pass
MCK0052,Portugal,Europe,Non-Binary,30,2024,MBA,University of Lisbon  ,Yes,Self Employed,Finance Analyst,Finance,No,No,Norway,80,30,65,34,54,32,66.33,65,70,67.11,Fail
MCK0053,Indonesia,Asia Pacific,Male,22,2020,Undergraduate,Universitas Indonesia  ,No,Unemployed,Junior Associate,Consulting,No,No,Croatia,90,30,41,35,54,30,61.67,68,77,68.89,Fail
MCK0054,Ireland,Europe,Non-Binary,30,2023,Masters,Trinity College Dublin  ,Yes,Employed,Data Engineer,Analytics,Yes,No,Sri Lanka,76,23,55,30,82,22,71,90,89,83.33,Pass
MCK0055,Greece,Europe,Male,35,2024,Law,National and Kapodistrian University of Athens  ,No,Employed,Data Analyst,Analytics,No,No,Israel,82,35,62,35,53,31,65.67,81,64,70.22,Fail
MCK0056,Thailand,Asia Pacific,Male,34,2022,Ph.D.,Chulalongkorn University  ,No,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,No,Germany,75,20,59,22,73,30,69,97,100,88.67,Pass
MCK0057,Vietnam,Asia Pacific,Non-Binary,24,2023,Undergraduate,Can Tho University  ,Yes,Unemployed,Business Presentation Designer,Visual Graphics & Media,No,No,South Africa,69,31,68,33,65,31,67.33,93,81,80.44,Pass
MCK0058,Austria,Europe,Male,22,2022,Masters,Vienna University of Technology (TU Wien)  ,Yes,Employed,Senior Service Designer,Visual Graphics & Media,Yes,No,Singapore,81,28,72,29,62,25,71.67,90,80,80.56,Pass
MCK0059,Dominican Republic,Central and South America,Non-Binary,23,2021,Masters,Pontificia Universidad Católica Madre y Maestra  ,No,Self Employed,Junior Associate,Consulting,No,Yes,Croatia,63,28,67,17,50,24,60,68,87,71.67,Fail
MCK0060,Thailand,Asia Pacific,Male,23,2020,Undergraduate,Mahidol University  ,Yes,Self Employed,Accountant,Finance,No,No,Greater China,92,30,60,35,68,34,73.33,91,93,85.78,Pass
MCK0061,Pakistan,Middle East,Male,30,2020,Masters,Aga Khan University  ,No,Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Croatia,83,15,67,19,70,18,73.33,65,84,74.11,Fail
MCK0062,South Africa,Africa,Male,21,2018,Undergraduate,University of the Witwatersrand  ,No,Employed,Director of Public Affairs - US Federal,Communications,Yes,No,Sweden,88,16,50,30,81,20,73,61,100,78,Pass
MCK0063,Chile,Central and South America,Male,18,2020,Undergraduate,Pontificia Universidad Católica de Chile  ,Yes,Student,Senior Service Designer,Visual Graphics & Media,No,No,Portugal,59,33,68,34,65,33,64,89,75,76,Pass
MCK0064,Romania,Europe,Female,31,2024,MBA,Bucharest University of Economic Studies  ,No,Employed,Office Services Administrator,Global Administration,No,Yes,Colombia,55,23,64,18,69,25,62.67,76,72,70.22,Fail
MCK0065,Israel,Europe,Non-Binary,25,2018,MBA,Tel Aviv University  ,Yes,Self Employed,Senior Service Designer,Visual Graphics & Media,No,No,Colombia,52,31,28,33,68,34,49.33,99,68,72.11,Fail
MCK0066,Brazil,Central and South America,Non-Binary,19,2021,Undergraduate,Federal University of Rio de Janeiro,Yes,Employed,Consultant,Consulting,No,Yes,United Kingdom,99,15,65,19,60,27,74.67,76,61,70.56,Fail
MCK0067,Sweden,Europe,Male,30,2018,Law,Stockholm University  ,No,Self Employed,Executive Assistant,Global Administration,No,Yes,Denmark,91,24,74,30,89,28,84.67,70,66,73.56,Fail
MCK0068,Romania,Europe,Female,25,2022,Masters,Alexandru Ioan Cuza University of Iași  ,Yes,Self Employed,Consultant,Consulting,Yes,Yes,Vietnam,85,19,73,22,81,15,79.67,87,96,87.56,Pass
MCK0069,Germany,Europe,Female,28,2020,Ph.D.,Humboldt-Universität zu Berlin  ,Yes,Unemployed,Consultant,Consulting,Yes,No,United Kingdom,68,18,35,22,62,26,55,94,71,73.33,Fail
MCK0070,Mexico,North America,Female,30,2019,Masters,National Autonomous University of Mexico  ,No,Employed,Director of Public Affairs - US Federal,Communications,No,Yes,Belgium,92,25,54,27,68,24,71.33,79,87,79.11,Pass
MCK0071,Peru,Central and South America,Female,18,2018,Undergraduate,Pontifical Catholic University of Peru  ,No,Student,Executive Assistant,Global Administration,No,Yes,Canada,58,27,52,30,70,26,60,81,76,72.33,Fail
MCK0072,Pakistan,Middle East,Male,32,2025,MBA,"University of Engineering and Technology, Lahore  ",No,Employed,Communications Specialist - Sustainability,Communications,No,No,Turkey,82,30,53,35,62,34,65.67,74,87,75.56,Pass
MCK0073,Kuwait,Middle East,Male,29,2018,MBA,Kuwait University  ,Yes,Student,Director of Public Affairs - US Federal,Communications,Yes,No,Egypt,88,16,65,30,77,30,76.67,75,77,76.22,Pass
MCK0074,Spain,Europe,Male,25,2024,MBA,University of Valencia  ,Yes,Unemployed,Consultant,Consulting,Yes,No,Pakistan,98,17,52,26,69,23,73,82,90,81.67,Pass
MCK0075,Germany,Europe,Male,26,2020,Masters,Technische Universität München  ,Yes,Self Employed,Data Engineer,Analytics,Yes,No,South Africa,83,28,47,26,73,17,67.67,82,82,77.22,Pass
MCK0076,United Kingdom,Europe,Male,29,2024,MBA,Imperial College London,No,Student,Data Engineer,Analytics,No,Yes,Guatemala,75,28,100,22,71,27,82,76,86,81.33,Pass
MCK0077,Egypt,Middle East,Female,27,2023,Masters,Alexandria University  ,Yes,Self Employed,Communications Specialist - Sustainability,Communications,Yes,Yes,Greece,92,18,72,21,53,16,72.33,68,76,72.11,Fail
MCK0078,United Kingdom,Europe,Male,27,2024,Masters,University of East Anglia  ,No,Student,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Spain,52,19,64,25,89,20,68.33,79,95,80.78,Pass
MCK0079,Netherlands,Europe,Non-Binary,26,2025,Masters,Eindhoven University of Technology  ,No,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,Yes,Ireland,79,16,61,25,66,20,68.67,63,76,69.22,Fail
MCK0080,Colombia,Central and South America,Female,24,2020,Masters,Universidad Nacional de Colombia  ,No,Student,Data Engineer,Analytics,Yes,Yes,Angola,55,15,46,20,46,18,49,78,85,70.67,Fail
MCK0081,Egypt,Middle East,Male,25,2019,Masters,Ain Shams University  ,Yes,Self Employed,Finance Analyst,Finance,Yes,No,Ireland,58,22,52,26,82,15,64,86,69,73,Fail
MCK0082,Vietnam,Asia Pacific,Male,17,2023,High School,Vietnam International School,No,Self Employed,Finance Analyst,Finance,No,No,Kazakhstan,68,33,64,35,72,35,68,78,70,72,Fail
MCK0083,United Arab Emirates,Middle East,Female,24,2022,Law,Al Ain University,Yes,Student,Accountant,Finance,No,Yes,Ethiopia,82,21,44,19,86,24,70.67,93,71,78.22,Pass
MCK0084,Switzerland,Europe,Female,30,2021,Medical Doctor,EPFL (École Polytechnique Fédérale de Lausanne)  ,No,Unemployed,Junior Associate,Consulting,No,No,India,54,30,53,35,70,34,59,69,60,62.67,Fail
MCK0085,Panama,Central and South America,Non-Binary,19,2023,High School,Santa María La Antigua University  ,No,Unemployed,Junior Associate,Consulting,No,Yes,Azerbaijan,86,18,81,18,82,20,83,92,65,80,Pass
MCK0086,United Kingdom,Europe,Female,24,2021,Law,University of Edinburgh  ,No,Self Employed,Data Engineer,Analytics,Yes,No,Denmark,96,30,48,22,88,17,77.33,75,70,74.11,Fail
MCK0087,Romania,Europe,Female,26,2023,Masters,Babes-Bolyai University  ,Yes,Unemployed,Finance Analyst,Finance,Yes,Yes,Belgium,90,15,24,21,67,18,60.33,83,73,72.11,Fail
MCK0088,Ireland,Europe,Non-Binary,25,2021,MBA,University College Dublin  ,Yes,Employed,Consultant,Consulting,Yes,No,Greece,84,28,52,27,54,18,63.33,97,100,86.78,Pass
MCK0089,Hungary,Europe,Male,35,2021,Law,University of Debrecen  ,Yes,Employed,Data Engineer,Analytics,Yes,No,Azerbaijan,100,19,62,26,72,25,78,69,78,75,Pass
MCK0090,Czech Republic,Europe,Non-Binary,32,2023,MBA,České vysoké učení technické v Praze  ,Yes,Unemployed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Germany,55,15,51,22,57,19,54.33,89,88,77.11,Pass
MCK0091,Pakistan,Middle East,Female,19,2021,Undergraduate,Institute of Business Administration  ,No,Student,Data Engineer,Analytics,No,No,Ireland,91,31,68,35,61,31,73.33,68,84,75.11,Pass
MCK0092,United Kingdom,Europe,Non-Binary,28,2018,MBA,University of Hull  ,Yes,Employed,Business Presentation Designer,Visual Graphics & Media,No,Yes,Peru,83,25,56,29,74,30,71,86,85,80.67,Pass
MCK0093,Greater China,Asia Pacific,Non-Binary,31,2024,Ph.D.,Tsinghua University  ,No,Employed,Communications Specialist - Sustainability,Communications,Yes,No,Ireland,78,27,66,27,74,21,72.67,69,73,71.56,Fail
MCK0094,Italy,Europe,Non-Binary,30,2018,MBA,University of Bologna  ,Yes,Employed,Communications Specialist - Sustainability,Communications,No,Yes,Romania,81,27,79,18,80,25,80,74,86,80,Pass
MCK0095,Morocco,Africa,Non-Binary,30,2018,Masters,Mohammed V University  ,No,Unemployed,Communications Specialist - Sustainability,Communications,Yes,Yes,Costa Rica,70,19,59,19,88,15,72.33,70,60,67.44,Fail
MCK0096,Spain,Europe,Female,30,2021,Medical Doctor,University of Seville  ,No,Unemployed,Communications Specialist - Sustainability,Communications,No,Yes,Czech Republic,77,23,54,22,61,27,64,83,86,77.67,Pass
MCK0097,Egypt,Middle East,Male,23,2018,Masters,Assiut University  ,No,Self Employed,Consultant,Consulting,No,No,Brazil,79,34,47,34,89,33,71.67,90,62,74.56,Fail
MCK0098,France,Europe,Female,29,2021,Masters,Sorbonne University,Yes,Self Employed,Executive Assistant,Global Administration,No,No,Spain,59,34,82,35,66,34,69,91,75,78.33,Pass
MCK0099,South Africa,Africa,Female,30,2024,Masters,Stellenbosch University  ,Yes,Unemployed,Executive Assistant,Global Administration,Yes,Yes,Vietnam,59,18,63,24,56,16,59.33,80,77,72.11,Fail
MCK0100,Pakistan,Middle East,Non-Binary,33,2018,Ph.D.,COMSATS Institute of Information Technology  ,No,Student,Executive Assistant,Global Administration,Yes,No,Netherlands,76,18,51,25,84,29,70.33,60,62,64.11,Fail
MCK0101,Kenya,Africa,Male,33,2018,Ph.D.,Kenyatta University  ,Yes,Self Employed,Finance Analyst,Finance,No,No,Switzerland,77,35,42,33,61,35,60,79,91,76.67,Pass
MCK0102,Croatia,Europe,Male,33,2021,Medical Doctor,Sveučilište u Zagrebu  ,Yes,Employed,Communications Specialist - Sustainability,Communications,Yes,No,Luxembourg,86,30,79,21,69,22,78,69,66,71,Fail
MCK0103,Chile,Central and South America,Male,24,2022,Masters,Universidad de Santiago de Chile  ,Yes,Employed,Junior Associate,Consulting,Yes,Yes,Nigeria,59,16,76,23,81,19,72,79,60,70.33,Fail
MCK0104,Czech Republic,Europe,Male,28,2019,MBA,Masarykova univerzita  ,Yes,Employed,Business Presentation Designer,Visual Graphics & Media,Yes,Yes,Philippines,95,16,64,25,62,20,73.67,86,89,82.89,Pass
MCK0105,Netherlands,Europe,Female,19,2020,High School,Leiden University  ,No,Student,Finance Analyst,Finance,Yes,Yes,Bahrain,83,19,65,21,61,19,69.67,89,78,78.89,Pass
MCK0106,Czech Republic,Europe,Non-Binary,27,2018,MBA,Vysoké učení technické v Brně  ,Yes,Unemployed,Data Analyst,Analytics,Yes,Yes,Turkey,78,20,57,18,81,16,72,84,84,80,Pass
MCK0107,Panama,Central and South America,Non-Binary,18,2025,Undergraduate,Latin University of Panama  ,Yes,Employed,Executive Assistant,Global Administration,No,Yes,Dominican Republic,82,22,44,18,53,17,59.67,90,92,80.56,Pass
MCK0108,Romania,Europe,Male,29,2024,Masters,University of Cluj-Napoca  ,No,Self Employed,Communications Specialist - Sustainability,Communications,Yes,Yes,Ecuador,74,15,60,20,81,19,71.67,88,80,79.89,Pass
MCK0109,Switzerland,Europe,Female,17,2021,High School,University of Zurich  ,Yes,Unemployed,Data Analyst,Analytics,No,No,Kuwait,83,34,82,34,63,30,76,98,70,81.33,Pass
MCK0110,Austria,Europe,Non-Binary,24,2024,Masters,University of Graz  ,No,Employed,Data Analyst,Analytics,Yes,No,Croatia,67,28,46,27,81,23,64.67,83,66,71.22,Fail
MCK0111,Finland,Europe,Female,23,2020,Undergraduate,University of Turku  ,No,Self Employed,Consultant,Consulting,No,Yes,Germany,75,19,32,28,73,16,60,67,93,73.33,Fail
MCK0112,Italy,Europe,Male,25,2019,MBA,Sapienza University of Rome  ,No,Self Employed,Data Analyst,Analytics,Yes,No,Greater China,79,25,58,27,74,28,70.33,78,86,78.11,Pass
MCK0113,Pakistan,Middle East,Male,24,2024,MBA,FAST National University of Computer and Emerging Sciences  ,Yes,Unemployed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Uruguay,57,18,85,23,76,20,72.67,63,71,68.89,Fail
MCK0114,Kuwait,Middle East,Female,28,2018,Masters,Gulf University for Science and Technology  ,Yes,Employed,Consultant,Consulting,No,Yes,Guatemala,48,21,60,19,76,22,61.33,79,99,79.78,Pass
MCK0115,Italy,Europe,Male,23,2025,Undergraduate,University of Milan  ,Yes,Employed,Director of Public Affairs - US Federal,Communications,No,No,Canada,58,35,68,33,95,33,73.67,72,94,79.89,Pass
MCK0116,United States,North America,Male,27,2020,Law,Stanford University,Yes,Self Employed,Director of Public Affairs - US Federal,Communications,Yes,No,Sri Lanka,65,27,66,29,73,29,68,76,90,78,Pass
MCK0117,Romania,Europe,Non-Binary,27,2025,Law,Politehnica University of Bucharest  ,Yes,Unemployed,Consultant,Consulting,No,No,Switzerland,90,35,58,33,54,33,67.33,93,66,75.44,Pass
MCK0118,Brazil,Central and South America,Male,26,2020,Law,Federal University of Rio de Janeiro,Yes,Unemployed,Junior Associate,Consulting,Yes,Yes,Norway,89,16,45,23,97,16,77,97,76,83.33,Pass
MCK0119,Japan,Asia Pacific,Non-Binary,27,2023,Masters,University of Tokyo  ,No,Student,Senior Service Designer,Visual Graphics & Media,No,Yes,India,83,23,51,15,87,16,73.67,74,82,76.56,Pass
MCK0120,Poland,Europe,Male,17,2020,High School,University of Warsaw  ,No,Self Employed,Finance Analyst,Finance,No,Yes,Finland,75,29,57,27,60,26,64,88,66,72.67,Fail
MCK0121,Spain,Europe,Non-Binary,28,2020,Masters,Polytechnic University of Valencia  ,Yes,Unemployed,Finance Analyst,Finance,Yes,No,Vietnam,47,28,69,28,46,25,54,84,78,72,Fail
MCK0122,Colombia,Central and South America,Female,22,2020,Masters,Universidad de los Andes  ,Yes,Student,Senior Service Designer,Visual Graphics & Media,No,No,Vietnam,63,34,66,35,62,35,63.67,100,78,80.56,Pass
MCK0123,Norway,Europe,Female,33,2021,Ph.D.,Norwegian University of Science and Technology  ,No,Unemployed,Director of Public Affairs - US Federal,Communications,Yes,Yes,Ethiopia,77,19,42,22,65,18,61.33,62,66,63.11,Fail
MCK0124,Bahrain,Middle East,Male,26,2018,MBA,Ahlia University  ,Yes,Unemployed,Consultant,Consulting,No,Yes,Saudi Arabia,77,24,46,30,95,24,72.67,96,65,77.89,Pass
MCK0125,Indonesia,Asia Pacific,Female,27,2022,Law,Universitas Gadjah Mada  ,Yes,Student,Accountant,Finance,Yes,Yes,Netherlands,65,18,81,21,67,18,71,87,71,76.33,Pass
MCK0126,Singapore,Asia Pacific,Non-Binary,23,2022,Undergraduate,National University of Singapore  ,Yes,Employed,Director of Public Affairs - US Federal,Communications,No,No,South Korea,51,31,43,35,73,32,55.67,64,66,61.89,Fail
MCK0127,Angola,Africa,Non-Binary,28,2019,Masters,Catholic University of Angola  ,Yes,Self Employed,Consultant,Consulting,Yes,Yes,Argentina,90,18,87,18,72,17,83,86,97,88.67,Pass
MCK0128,Ethiopia,Africa,Non-Binary,22,2023,Undergraduate,Addis Ababa University  ,Yes,Student,Consultant,Consulting,Yes,No,Belgium,57,17,64,20,58,28,59.67,84,100,81.22,Pass
MCK0129,Kuwait,Middle East,Non-Binary,27,2025,Masters,American University of Kuwait  ,Yes,Unemployed,Director of Public Affairs - US Federal,Communications,No,Yes,Vietnam,81,23,46,19,39,21,55.33,93,96,81.44,Pass
MCK0130,Brazil,Central and South America,Female,22,2018,Undergraduate,Federal University of Rio de Janeiro,Yes,Student,Junior Associate,Consulting,No,Yes,United Arab Emirates,95,26,57,15,71,20,74.33,75,61,70.11,Fail
MCK0131,Ireland,Europe,Non-Binary,23,2024,Ph.D.,University College Cork  ,No,Self Employed,Director of Public Affairs - US Federal,Communications,No,Yes,Dominican Republic,90,21,88,18,81,30,86.33,65,76,75.78,Pass
